day,region,nodes_count,xdr_permyriad
14-06-2025,Asia:HK,10,506904.2904
15-06-2025,Asia:HK,10,506904.2904
16-06-2025,Asia:HK,10,506904.2904
17-06-2025,Asia:HK,10,506904.2904
18-06-2025,Asia:HK,10,506904.2904
19-06-2025,Asia:HK,10,506904.2904
20-06-2025,Asia:HK,10,506904.2904
21-06-2025,Asia:HK,10,506904.2904
22-06-2025,Asia:HK,10,506904.2904
23-06-2025,Asia:HK,10,506904.2904
24-06-2025,Asia:HK,10,506904.2904
25-06-2025,Asia:HK,10,506904.2904
26-06-2025,Asia:HK,10,506904.2904
27-06-2025,Asia:HK,10,506904.2904
28-06-2025,Asia:HK,10,506904.2904
29-06-2025,Asia:HK,10,506904.2904
30-06-2025,Asia:HK,10,506904.2904
01-07-2025,Asia:HK,10,506904.2904
02-07-2025,Asia:HK,10,506904.2904
03-07-2025,Asia:HK,10,506904.2904
04-07-2025,Asia:HK,10,506904.2904
05-07-2025,Asia:HK,10,506904.2904
06-07-2025,Asia:HK,10,506904.2904
07-07-2025,Asia:HK,10,506904.2904
08-07-2025,Asia:HK,10,506904.2904
09-07-2025,Asia:HK,10,506904.2904
10-07-2025,Asia:HK,10,506904.2904
11-07-2025,Asia:HK,10,506904.2904
12-07-2025,Asia:HK,10,506904.2904
13-07-2025,Asia:HK,10,506904.2904
