node_id,day_utc,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
bv2x3-p2b3h-b23rg-aoq3s-kdzo2-pipmf-5y2me-jfa4w-tb7vr-qistz-2ae,2025-12-14,type3.1,"Asia,LK,Colombo",cm1,Assigned,1,638245.4106776181,638245.4106776181,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.003153153153153153,4374,10,0.002281021897810219,0,
bv2x3-p2b3h-b23rg-aoq3s-kdzo2-pipmf-5y2me-jfa4w-tb7vr-qistz-2ae,2025-12-15,type3.1,"Asia,LK,Colombo",cm1,Assigned,1,638245.4106776181,638245.4106776181,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0025,4363,19,0.004335919671382931,0.0018359196713829302,
bv2x3-p2b3h-b23rg-aoq3s-kdzo2-pipmf-5y2me-jfa4w-tb7vr-qistz-2ae,2025-12-16,type3.1,"Asia,LK,Colombo",cm1,Assigned,1,638245.4106776181,638245.4106776181,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0016758439071103664,4346,4,0.0009195402298850575,0,
bv2x3-p2b3h-b23rg-aoq3s-kdzo2-pipmf-5y2me-jfa4w-tb7vr-qistz-2ae,2025-12-17,type3.1,"Asia,LK,Colombo",cm1,Assigned,1,638245.4106776181,638245.4106776181,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.002817562808170932,4354,3,0.0006885471654808355,0,
bv2x3-p2b3h-b23rg-aoq3s-kdzo2-pipmf-5y2me-jfa4w-tb7vr-qistz-2ae,2025-12-18,type3.1,"Asia,LK,Colombo",cm1,Assigned,1,638245.4106776181,638245.4106776181,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0027662517289073307,4430,2,0.0004512635379061372,0,
bv2x3-p2b3h-b23rg-aoq3s-kdzo2-pipmf-5y2me-jfa4w-tb7vr-qistz-2ae,2025-12-19,type3.1,"Asia,LK,Colombo",cm1,Assigned,1,638245.4106776181,638245.4106776181,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0013608528010886822,4425,2,0.000451773209848656,0,
bv2x3-p2b3h-b23rg-aoq3s-kdzo2-pipmf-5y2me-jfa4w-tb7vr-qistz-2ae,2025-12-20,type3.1,"Asia,LK,Colombo",cm1,Assigned,1,638245.4106776181,638245.4106776181,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0018219084491004327,4476,2,0.0004466279589102278,0,
bv2x3-p2b3h-b23rg-aoq3s-kdzo2-pipmf-5y2me-jfa4w-tb7vr-qistz-2ae,2025-12-21,type3.1,"Asia,LK,Colombo",cm1,Assigned,1,638245.4106776181,638245.4106776181,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0018120045300113253,4394,1,0.0002275312855517634,0,
bv2x3-p2b3h-b23rg-aoq3s-kdzo2-pipmf-5y2me-jfa4w-tb7vr-qistz-2ae,2025-12-22,type3.1,"Asia,LK,Colombo",cm1,Assigned,1,638245.4106776181,638245.4106776181,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.00277713492247165,4359,1,0.00022935779816513763,0,
bv2x3-p2b3h-b23rg-aoq3s-kdzo2-pipmf-5y2me-jfa4w-tb7vr-qistz-2ae,2025-12-23,type3.1,"Asia,LK,Colombo",cm1,Assigned,1,638245.4106776181,638245.4106776181,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0020389669234254647,4530,1,0.00022070183182520416,0,
