day,region,nodes_count,xdr_permyriad
14-06-2025,Asia:KR,25,554882.7464
15-06-2025,Asia:KR,25,554882.7464
16-06-2025,Asia:KR,25,554882.7464
17-06-2025,Asia:KR,25,554882.7464
18-06-2025,Asia:KR,25,554882.7464
19-06-2025,Asia:KR,25,554882.7464
20-06-2025,Asia:KR,25,554882.7464
21-06-2025,Asia:KR,25,554882.7464
22-06-2025,Asia:KR,25,554882.7464
23-06-2025,Asia:KR,25,554882.7464
24-06-2025,Asia:KR,25,554882.7464
25-06-2025,Asia:KR,25,554882.7464
26-06-2025,Asia:KR,25,554882.7464
27-06-2025,Asia:KR,25,554882.7464
28-06-2025,Asia:KR,25,554882.7464
29-06-2025,Asia:KR,25,554882.7464
30-06-2025,Asia:KR,25,554882.7464
01-07-2025,Asia:KR,25,554882.7464
02-07-2025,Asia:KR,25,554882.7464
03-07-2025,Asia:KR,25,554882.7464
04-07-2025,Asia:KR,25,554882.7464
05-07-2025,Asia:KR,25,554882.7464
06-07-2025,Asia:KR,25,554882.7464
07-07-2025,Asia:KR,25,554882.7464
08-07-2025,Asia:KR,25,554882.7464
09-07-2025,Asia:KR,25,554882.7464
10-07-2025,Asia:KR,25,554882.7464
11-07-2025,Asia:KR,25,554882.7464
12-07-2025,Asia:KR,25,554882.7464
13-07-2025,Asia:KR,25,554882.7464
