node_reward_type,region,monthly_xdr_permyriad,daily_xdr_permyriad
Type1,"North America,US,Arizona",0.0000,0.0000
Type1,"North America,US,Virginia",0.0000,0.0000
Type1dot1,"North America,US,Arizona",10040000.0000,329856.2628
Type1dot1,"North America,US,Virginia",10040000.0000,329856.2628
