day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
08-07-2025,6624722.7926,19,
09-07-2025,21059548.2546,61,
10-07-2025,21389404.5174,62,
11-07-2025,14149650.9240,41,
12-07-2025,14149650.9240,41,
13-07-2025,14149650.9240,41,
