node_reward_type,region,monthly_xdr_permyriad,daily_xdr_permyriad
Type3dot1,"Asia,IN,New Delhi",20990417.0000,689623.5564
Type3dot1,"North America,CA,Quebec",15429583.0000,506926.7515
