name,node_type,ipv6,principal,subnet,physical_system
mercury.an1-dll21.282,external,2001:920:401a:1708:6801:d5ff:fe6d:c6f8,ul75e-6e3ls-pno2p-y3plc-cd2gq-dfnw4-56woc-s45vm-ipu6u-lotli-uae,pae4o-o6dxf-xki7q-ezclx-znyd6-fnk6w-vkv5z-5lfwh-xym2i-otrrw-fqe,an1-dll21.an1.dfinity.network
mercury.an1-dll22.283,external,2001:920:401a:1708:6801:51ff:fefc:1db0,rg3ny-2qkvz-btitk-sxuiu-fsl2h-nkmij-lagjs-y4bnq-cb63u-vh2rd-aqe,eq6en-6jqla-fbu5s-daskr-h6hx2-376n5-iqabl-qgrng-gfqmv-n3yjr-mqe,an1-dll22.an1.dfinity.network
mercury.an1-dll23.284,external,2001:920:401a:1708:6801:f7ff:fe77:46f4,mxan5-53r72-hkqtz-u6rcw-p7ptu-tx5bk-z5a3z-phhfg-q44od-cbf4s-zqe,brlsh-zidhj-3yy3e-6vqbz-7xnih-xeq2l-as5oc-g32c4-i5pdn-2wwof-oae,an1-dll23.an1.dfinity.network
mercury.an1-dll24.285,external,2001:920:401a:1708:6801:82ff:feeb:1090,myrfu-jkojj-uazua-a7qws-mg5vd-ye4tp-ycg6n-c2wwj-ixkwp-obihw-xae,5kdm2-62fc6-fwnja-hutkz-ycsnm-4z33i-woh43-4cenu-ev7mi-gii6t-4ae,an1-dll24.an1.dfinity.network
mercury.an1-dll25.286,external,2001:920:401a:1708:6801:86ff:fe36:27f,i6baw-ywtnm-q36ab-zi7o2-f5bva-xji6q-puhpm-pb73u-qlc3e-3nemh-kae,w4rem-dv5e3-widiz-wbpea-kbttk-mnzfm-tzrc7-svcj3-kbxyb-zamch-hqe,an1-dll25.an1.dfinity.network
mercury.an1-dll26.961,external,2001:920:401a:1708:6801:bff:fed3:bc9f,mihvd-umv3j-cjsl2-bfsdu-td7aw-2y6if-aw4fn-cghkm-v2oxd-kj75q-cae,lhg73-sax6z-2zank-6oer2-575lz-zgbxx-ptudx-5korm-fy7we-kh4hl-pqe,an1-dll26.an1.dfinity.network
mercury.an1-dll27.962,external,2001:920:401a:1708:6801:2bff:fef2:696a,77fe5-a4oq4-o5pk6-glxt7-ejfpv-tdkrr-24mgs-yuvvz-2tqx6-mowdr-eae,nl6hn-ja4yw-wvmpy-3z2jx-ymc34-pisx3-3cp5z-3oj4a-qzzny-jbsv3-4qe,an1-dll27.an1.dfinity.network
mercury.an1-dll28.963,external,2001:920:401a:1708:6801:ccff:fedb:9c0d,plofy-xgqcd-j5rdn-uby5b-pxymt-w5yzc-jumzd-rhosg-33xha-krwao-sae,3hhby-wmtmw-umt4t-7ieyg-bbiig-xiylg-sblrt-voxgt-bqckd-a75bf-rqe,an1-dll28.an1.dfinity.network
mercury.at1-dll08.51,external,2607:f758:1220:0:6801:65ff:fe87:6d0,kysfq-adwei-hpc4a-qscmv-onh4l-xmgba-uuo2p-53ntr-b2hnt-x5njs-zae,unassigned,at1-dll08.at1.dfinity.network
mercury.at1-dll09.465,external,2607:f758:1220:0:6801:98ff:fe85:56b2,dufju-f3t53-ozvn4-l65s5-jc5uu-h7z2y-4odvo-3oixg-nixr3-yfrua-7ae,unassigned,at1-dll09.at1.dfinity.network
