node-operator-principal,type0,type1,type2
zl44g-e4nhb-o466l-3vvza-f24qv-ph42z-itn5r-rjzfk-dcddc-ehtnf-wae,0,0,0
fv6gw-axucj-upche-ruqwv-wwpg7-a2mrr-7syyo-vosk3-n33d5-f76am-3qe,0,0,0
hwqrd-3jtl3-cezs5-djz4d-66jzq-s7yo6-mnhu4-bxwr7-7zhpl-hmk4s-7ae,0,0,0
d3tbz-mmx4d-n3wog-2qizt-scc6g-yk34o-eax56-3gvw2-p5fkl-n7ilf-3qe,0,0,0
6kijh-dth6f-r2s4w-cbg37-54hv2-3acft-3ceh6-lb67u-5zrem-lk7mi-iqe,0,0,0
ro7xv-qzzmk-sd7hw-uanhl-fsijk-mdlyw-h4536-a5qos-2ntz7-px22g-6qe,0,0,0
xxswn-iq3ne-oay4w-5aoec-euj5g-27h2d-vqvqu-vcw4s-ms35g-2q7lx-7ae,0,0,0
bhfqt-hei2j-iaci3-mmu64-3vcir-atm2q-x3lk5-d66ze-6dztt-rsfa4-oae,0,0,0
stsr3-mp5fe-aovow-cfpsx-llwox-lclye-3b4iz-5ngbp-plih6-b5ymw-4ae,0,0,0
wp6qv-vnqsk-h776k-t7ink-2qpyi-sowym-sp5iu-q45pr-pa2fy-xv42g-3ae,0,0,0
4r57v-7tzge-ht3l5-7oy7w-h7a77-ejrl6-7xevk-gzqjo-ck5kw-7kfjh-3ae,0,0,0
wnca2-grvnb-wsd4a-b7h5z-iepws-t7rdb-ccdp6-5sgoi-svn4d-vm6no-oae,0,0,0
gmjgz-msapm-tye3z-ranay-6cbit-as2gz-qk4id-ijffv-c5fuy-tlnpz-vqe,0,0,0
sm6rh-sldoa-opp4o-d7ckn-y4r2g-eoqhv-nymok-teuto-4e5ep-yt6ky-bqe,0,0,0
rzskv-pde6u-albub-bojhe-odunj-k3nnf-j2eag-akkjm-o3ydz-z5tcy-vae,0,0,0
byspq-73pbj-e44pb-5gq3o-a6sqa-p3p3l-blq2j-dtjup-77zyx-k26zh-aae,0,0,0
s7dud-dfedw-dmrax-rjvop-5k4qw-htm4w-gj7ak-j2itz-txwwn-o5ymv-tae,0,0,0
oa3sb-m5gwt-ld4dd-sqi3x-wh47g-lqot6-ps3um-afi3z-7cyuy-57mdg-iae,0,0,0
wqyl3-uvtrm-5lhi3-rjcas-ntrhs-bimkv-viu7b-2tff6-ervao-u2cjg-wqe,0,0,0
vqe65-zvwhc-x7bw7-76c74-3dc6v-v6uzb-nyfvb-6wgnv-nhiew-fkoug-oqe,0,0,0
hfjum-y6koo-ux5qc-ona6f-mdzx2-p2ohq-divm7-jfejp-4got3-6ycro-jae,0,0,0
y4c7z-5wyt7-h4dtr-s77cd-t5pue-ajl7h-65ct4-ab5dr-fjaqa-x63kh-xqe,0,0,0
xcne4-m67do-bnrkt-ny5xy-gxepb-5jycf-kcuvt-bdmh6-w565c-fvmdo-oae,0,0,0
lgp6d-brhlv-35izu-khc6p-rfszo-zdwng-xbtkh-xyvjg-y3due-7ha7t-uae,0,28,0
ht6h4-pyat4-42ltb-7mgc5-ws3yx-nekxf-bp3ch-kwhou-bihtm-sqads-fae,0,1,0
f7clk-cqbbh-vh4nn-j2max-6n5sz-nfzex-4vbko-bwrmw-ab4kc-iuvyw-5ae,0,1,0
queaw-cyb3x-xb7pe-xo5ob-vliyi-3vxyo-sr6mt-uj4bz-pxto3-fjtun-oqe,0,1,0
njerl-pygzr-qrdgc-u3zyq-crkfa-6dl4r-cugcy-ngel2-zv34p-dcfer-4qe,0,1,0
ioppm-rihvy-vamnl-764c4-7fti4-d3m27-44qfw-f4tfu-ttwym-72jeh-3ae,0,1,0
mf46f-eyjly-uej72-7dcbv-34moa-vqsaf-nmnhp-d6y5q-qeqww-2cudy-wqe,0,1,0
