node_reward_type,region,monthly_xdr_permyriad,daily_xdr_permyriad
Type3dot1,"Europe,ES,Barcelona",15415000.0000,506447.6386
Type3dot1,"Europe,FR,Paris",15415000.0000,506447.6386
