node_reward_type,region,monthly_xdr_permyriad,daily_xdr_permyriad
Type3,"Africa,ZA,Gauteng",27491250.0000,903203.2854
Type3dot1,"Oceania,AU,Queensland",19583333.0000,643394.9240
