node_provider_id,rewards_icp,account_id
7uioy-xitfw-yqcko-5gpya-3lpsw-dw7zt-dyyyf-wfqif-jvi76-fdbkg-cqe,9409.28345791,396d317acf1b6a1af9ab82b1c997b6c8bdfc693966a07405773b0dffaae96307
g2ax6-jrkmb-3zuh3-jibtb-q5xoq-njrgo-5utbc-j2o7g-zfq2w-yyhky-dqe,6765.93966898,f69c482f3845d07c374e44bf18b266ee4aca732d521cac70ae9e242d20a038a3
nmdd6-rouxw-55leh-wcbkn-kejit-njvje-p4s6e-v64d3-nlbjb-vipul-mae,9313.06420181,e7f2700aec3eb245ebb6b51d1f217f4fb09c99840da7d0372264fdfa6647bb81
eybf4-6t6bb-unfb2-h2hhn-rrfi2-cd2vs-phksn-jdmbn-i463m-4lzds-vqe,5111.41484249,d308be4018242aa0dbfd2a9738664c1503d3e8bd3daf08ef4da1e793043b2fa8
2byzn-q2crt-hgczo-eruff-6p7af-pemor-n2z4z-6d2sd-wvdqa-yqvxb-mqe,0.00000000,19ef947676909f07e531ac46ed68459ec49c611b06510f53387dbbebd2340301
hk7eo-22zam-kqmsx-dtfbj-k5i6f-jg65h-micpf-2cztc-t2eqk-efgvx-vqe,1121.43824523,ea7c7ec17e0919755f31644af2b7e97739f8cf09d34cb73acce549dd5a70aa57
optdi-nwa4m-hly3k-6ua4n-sqyxf-yahvb-wps77-ddayn-r7zcz-edla5-7qe,5368.43833422,ca4c919dd992c7e82880a5dced116a8eb8211589cc793712eba5bea2ae2a6016
4jjya-hlyyc-s766p-fd6gr-d6tvv-vo3ah-j5ptx-i73gw-mwgyd-rw6w2-rae,6116.82327816,aacc97740e8b8529bbbfb2c0f1dd170d405cbe1b6c3edac4e117e5478710554c
cp5ib-twnmx-h4dvd-isef2-tu44u-kb2ka-fise5-m4hta-hnxoq-k45mm-hqe,7383.57114255,4fbefbd1c2e147159fdf2986fb9f34735d225aa265658f575c05750cd6a24a24
jz47c-irtey-dr2nb-wienh-emhaz-jo6ua-gsbho-t2z5j-l7kbf-5i7p5-5ae,0.00000000,cf88e70fb272c34ea62ed9c3a58856fbbf19b504ec057313df092ae4589f9aed
fwnmn-zn7yt-5jaia-fkxlr-dzwyu-keguq-npfxq-mc72w-exeae-n5thj-oae,6883.72401672,831b5d20299642a83c138e83e79749b448bf74cfe3ce4023fd508c948498baac
mme7u-zxs3z-jq3un-fbaly-nllcz-toct2-l2kp3-larrb-gti4r-u2bmo-dae,5360.27295782,3b9290f1385c87fa4547748e2f58708a211a485b466f55482bdbdb742593ae4a
4fedi-eu6ue-nd7ts-vnof5-hzg66-hgzl7-liy5n-3otyp-h7ipw-owycg-uae,3814.41671115,75ea14366bebf6f3b5e0710e40472df5627f7b8918ab3fca856b7b8185943750
