node_id,node_provider_principal_id,node_provider_name,subnet_id,status
fcfcb-mfjxb-72qbc-ekzgu-3kd2y-lbbtn-eu5wu-wi47e-ns4k5-wwgyt-eae,missing,missing,gmq5v-hbozq-uui6y-o55wc-ihop3-562wb-3qspg-nnijg-npqp5-he3cj-3ae,found
vivoi-pgaro-d7j64-broi5-wf4ig-3n2jq-sp366-rgh56-yx6do-gcx3w-mqe,missing,missing,w4rem-dv5e3-widiz-wbpea-kbttk-mnzfm-tzrc7-svcj3-kbxyb-zamch-hqe,found
tav5h-wv4rc-ty5vk-jgfh2-vm4uv-rtcm6-vasc2-acr5w-vop75-sjvut-gqe,missing,missing,3hhby-wmtmw-umt4t-7ieyg-bbiig-xiylg-sblrt-voxgt-bqckd-a75bf-rqe,found
hzfgy-lpd4o-lye4m-gvqcy-ah24f-fv5hx-iu3mm-avxp6-s3xuh-cxbxi-2ae,wwdbq-xuqhf-eydzu-oyl7p-ga565-zm7s7-yrive-ozgsy-zzgh3-qwb3j-cae,"Giant Leaf, LLC",missing,found
tn2ne-tskw6-dfk3n-urdmd-krtq6-tcebq-dx2xr-kokq7-eood7-fadkg-5qe,missing,missing,missing,not found
3ojqg-v6jhs-frq5l-a3l7k-7xvhc-kolvz-2e4to-pdf4l-xiuem-h72b3-bqe,unqqg-no4b2-vbyad-ytik2-t3vly-3e57q-aje2t-sjb5l-bd4ke-chggn-uqe,Karel Frank,pzp6e-ekpqk-3c5x7-2h6so-njoeq-mt45d-h3h6c-q3mxf-vpeq5-fk5o7-yae,found
vsra4-xeixj-fpwtj-qs4m6-hijj4-zlopd-wcrgb-gyyhx-eu5gy-fbsea-fae,6tg64-cdfoh-kl35i-p6qti-sose3-746lr-jk5ex-phuvu-jfu3d-5svwa-7qe,Rishi Sachdev,missing,found
nbela-otrcc-dakmr-4ljx7-igd2t-3ge3b-xskv7-cnj65-co4r7-cjxyd-vqe,missing,missing,k44fs-gm4pv-afozh-rs7zw-cg32n-u7xov-xqyx3-2pw5q-eucnu-cosd4-uqe,found
qhdwe-lh37e-nbxhw-l26cc-bmxdo-hnhzi-uivxu-ibgiv-rksoj-wfvhc-iqe,missing,missing,missing,not found
iqnlc-oy677-m524v-tisrn-3v44n-2eylu-bclq3-fqjtg-4ab7z-ycrie-mqe,missing,missing,missing,not found
